Nutrients,Growth,Adult,Old Age,Gastro Intestinal,Joint & Mob,Kidney,Skin,Diabetes,CVD,Liver
Crude Protein (%),27,22,20.5,22,22,15,18,20,18,17
Fiber (%),6,5,6,5,5,7,5,7,7,5
Crude Fat (%),12,8,5.5,1,12,5.5,6.5,4,3.5,5.5
Linoleic Acid (%),1.5,1.1,1.3,1.3,1.5,1.1,1.5,1.1,1.3,1.1
Vitamin A (IU/Kg),5000,5000,5000,5000,5000,5000,6500,5000,5000,5800
Vitamin D (IU/Kg),500,500,500,500,500,500,500,500,500,500
Vitamin E (IU/Kg),50,50,50,50,50,50,50,50,60,50
Calcium (%),1.2,0.5,1,0.5,1.2,0.5,0.5,0.5,0.5,0.5
Phosphorus (%),1,0.4,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Potassium (%),0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.6
Sodium (%),0.3,0.08,0.08,0.08,0.08,0.01,0.08,0.08,0.08,0.08
Chloride (%),0.45,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Magnesium (%),0.06,0.06,0.06,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Iron (mg/kg),88,40,45,40,40,40,40,40,40,40
Copper (mg/kg),12.4,7.3,7.5,8,7.3,7.3,8.1,7.3,7.3,7.7
Manganese (mg/kg),7.2,5,5.8,5,5,5,5,5,5,5
Zinc (mg/kg),100,80,95,90,80,80,100,95,80,95
Iodine (mg/kg),1,1,1,1,1,1,1,1,1,1
Selenium (mg/kg),0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.4,0.4
Thiamine (mg/kg),2.25,2.25,2.4,2.25,2.25,2.5,2.5,2.35,2.25,2.25
Riboflavin (mg/kg),5.2,5.2,5.2,5.2,5.2,5.5,5.2,5.2,5.2,5.2
Pantothenic Acid (mg/kg),12,12,12,12,12,12,14,12,12,12
Niacin (mg/kg),13.6,13.6,15,13.6,13.6,13.6,15,13.6,13.6,13.6
Pyridoxine (mg/kg),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Folic Acid (mg/kg),0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216
B12 (mg/kg),0.028,0.028,0.028,0.28,0.28,0.28,0.028,0.028,0.028,0.028
Choline (mg/kg),1360,1360,1450,1360,1500,1360,1360,1360,1360,1360
